Land,Kreis,Gemeinde,Adresse_Name,Adresse_Straße,Adresse_Haus-Nr.,Adresse_Postleitzahl,Adresse_Ort,Telefonvorwahl/-nummer,E-Mail Adresse,Internet-Adresse,Traeger,T-Name,EinrichtungsTyp,INSG,0000,0100,0200,0300,0400,0500,0600,0700,0800,0900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,8200,8500,8600,8800,9000
1.0,3.0,0.0,AMEOS Reha Klinikum Lübeck,Weidenweg,9-15,23562.0,Lübeck,0451 58940,,www.ameos.de/reha-klinikum-luebeck,3.0,AMEOS Klinika Lübeck GmbH,6.0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,
1.0,3.0,0.0,Fachklinik für Rehabilitation DO IT!,Mecklenburger Landstraße,60,23570.0,Lübeck,040 200010-1200,geschaeftsstelle@therapiehilfe.de,www.therapiehilfe.de/standorte/fachklinik-do-it/,2.0,Therapiehilfe gGmbH,6.0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,
1.0,51.0,13.0,AWO-Nordseeklinik Erlengrund,Nordseestraße,100,25761.0,Büsum,0231 5483-249,info@aw-kur.de,www.aw-kur.de/awo-nordseeklinik-erlengrund-0,2.0,AW - Kur- und Erholungsgesellschaft mbH,6.0,89,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,51.0,13.0,Ev. Kurzentrum GODE TIED Büsum,Königsberger Straße,12-16,25761.0,Büsum,04834 9509-0,info@godetied.nordkirche.de,www.godetied.com,2.0,Hauptbereich Generationen und Geschlechter der Evangelisch-Lutherischen Kirche in Norddeutschland,6.0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,
1.0,51.0,34.0,Klinik Nordseedeich,Deichweg,1,25718.0,Friedrichskoog,04854 908-0,info@klinik-nordseedeich.de,www.klinik-nordseedeich.de,3.0,Klinik Nordseedeich Verwaltungs GmbH,6.0,270,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,53.0,32.0,VAMED Rehaklinik Geesthacht,Johannes-Ritter-Straße,100,21502.0,Geesthacht,04152 918-0,info.geesthacht@vamed-gesundheit.de,www.vamed-gesundheit.de/reha/geesthacht/,3.0,VAMED Klinik Geesthacht GmbH,6.0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,
1.0,53.0,84.0,VAMED Rehaklinik Lehmrade,Gudower Straße,10,23883.0,Lehmrade,04542 806-0,info.lehmrade@vamed-gesundheit.de,www.vamed-gesundheit.de/reha/lehmrade/,3.0,VAMED Rehaklinik Lehmrade GmbH,6.0,131,,,,,,91.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,53.0,90.0,Reha-Klinik Hellbachtal,Sebastian-Kneipp-Straße,2,23879.0,Mölln,04542 804-0,reha-klinik.hellbachtal@drv-bund.de,www.reha-klinik-hellbachtal.de,1.0,Deutsche Rentenversicherung Bund,6.0,192,,,,,,,,,,,,,,,,,,,,,,,,192.0,,,,,,,,,,,,,,,,,,,
1.0,53.0,90.0,Reha-Zentrum Mölln Klinik Föhrenkamp,Birkenweg,24,23879.0,Mölln,04542 802-0,reha-klinik.foehrenkamp@drv-bund.de,www.reha-klinik-foehrenkamp.de,1.0,Deutsche Rentenversicherung Bund,6.0,193,,,,,,,52.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
