Land,Kreis,Gemeinde,Adresse_Name,Adresse_Name_Standort,Adresse_Strasse_Standort,Adresse_Haus-Nr._Standort,Adresse_Postleitzahl_Standort,Adresse_Ort_Standort,Telefonvorwahl -nummer,E-Mail Adresse,Internet-Adresse,Traeger,T_Name,EinrichtungsTyp,Allgemeine_Notfallversorgung,Spezielle_Notfallversorgung_Schwerverletzte,Spezielle_Notfallversorgung_Kinder,Spezielle_Notfallversorgung_Spezial,Spezielle_Notfallversorgung_Schlaganfall,Spezielle_Notfallversorgung_Durchblutung_Herz,INSG,0100,0102,0103,0104,0105,0106,0107,0108,0109,0114,0150,0151,0152,0153,0154,0156,0200,0224,0260,0261,0300,0400,0410,0436,0500,0510,0524,0533,0600,0607,0610,0700,0706,0710,0800,0900,0910,1000,1004,1005,1006,1007,1009,1011,1012,1014,1028,1050,1051,1100,1136,1200,1300,1400,1410,1500,1513,1516,1518,1519,1520,1523,1536,1550,1551,1600,1700,1800,1900,2000,2021,2036,2050,2100,2118,2120,2136,2150,2200,2300,2309,2315,2316,2400,2402,2405,2406,2425,2500,2600,2700,2800,2810,2851,2852,2856,2900,2928,2930,2931,2950,2951,2952,2953,2954,2955,2956,2960,2961,3000,3060,3061,3100,3110,3160,3161,3200,3233,3300,3305,3350,3400,3415,3460,3500,3600,3601,3603,3610,3617,3618,3621,3622,3624,3626,3628,3650,3651,3652,3700,3750,3751,3752,3753,3754,3755,3756,3757,3758,3759
1.0,1.0,0.0,DIAKO Krankenhaus gGmbH,DIAKO Krankenhaus gGmbH,Knuthstraße,1,24939.0,Flensburg,0461 812-0,servicecenter@diako.de,www.diako-krankenhaus.de,2.0,DIAKO Krankenhaus gGmbH,2.0,2.0,1.0,1.0,2.0,1.0,2.0,400.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,43.0,24.0,,,,,,,,,,,32.0,18.0,,,,31.0,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,"DIAKO Nordfriesland gGmbH - DIAKO Fachklinik für Psychiatrie, Psychosomatik und Psychotherapie Flensburg","DIAKO Fachklinik für Psychiatrie, Psychosomatik, Psychotherapie",Knuthstraße,1,24939.0,Flensburg,0461 812-1701,psychiatrie.fl@diako.de,www.diako-nf.de,2.0,DIAKO Nordfriesland gGmbH,2.0,0.0,2.0,2.0,2.0,2.0,2.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,DIAKO Nordfriesland gGmbH - DIAKO Tageskliniken Flensburg,DIAKO Tagesklinik für Ältere Flensburg,Marienhölzungsweg,8,24939.0,Flensburg,04671 408-0,info.nf@diako.de,www.diako-nf.de/unsere-angebote/,2.0,DIAKO Nordfriesland gGmbH,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,DIAKO Nordfriesland gGmbH - DIAKO Tageskliniken Flensburg,DIAKO Tagesklinik für Erwachsene Flensburg,Marienhölzungsweg,21,24939.0,Flensburg,04671 408-0,info.nf@diako.de,www.diako-nf.de/unsere-angebote/,2.0,DIAKO Nordfriesland gGmbH,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,DIAKO Nordfriesland gGmbH - DIAKO Tageskliniken Flensburg,DIAKO Tagesklinik für KJP (Villa Paletti),Marienhölzungsweg,68,24939.0,Flensburg,04671 408-0,info.nf@diako.de,www.diako-nf.de/unsere-angebote/,2.0,DIAKO Nordfriesland gGmbH,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,DIAKO Nordfriesland gGmbH - DIAKO Tageskliniken Flensburg,DIAKO Tagesklinik für Psychosomatik Flensburg,Nerongsallee,5,24939.0,Flensburg,04671 408-0,info.nf@diako.de,www.diako-nf.de/unsere-angebote/,2.0,DIAKO Nordfriesland gGmbH,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,Katharinen Hospiz am Park,Katharinen Hospiz am Park,Mühlenstraße,1,24937.0,Flensburg,0461 503230,info@katharinen-hospiz.de,www.katharinen-hospiz.de,2.0,Katharinen Hospiz am Park gGmbH,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
1.0,1.0,0.0,Malteser Krankenhaus St. Franziskus-Hospital,Malteser Krankenhaus St. Franziskus-Hospital,Waldstraße,17,24939.0,Flensburg,0461 816-0,krankenhaus.flensburg@malteser.org,www.malteser-franziskus.de,2.0,Malteser Norddeutschland gGmbH,2.0,1.0,2.0,2.0,2.0,2.0,2.0,337.0,135.0,,,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.0,0.0,"AMEOS Klinika Heiligenhafen, Kiel, Oldenburg i. H., Preetz",AMEOS Klinikum Kiel,Tiroler Ring,621,24147.0,Kiel,04362 91-0,,www.ameos.de/klinikum-heiligenhafen/,3.0,AMEOS Krankenhausgesellschaft Holstein mbH,2.0,0.0,2.0,2.0,2.0,2.0,2.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
